id,race,sex,age,charge_id,juv_fel_count_norm,juv_misd_count_norm,priors_count_norm,charge_degree (misd/fel),compas_decile_score_norm,two_year_recid,compas_guess,compas_correct,Actual_answer
216,1,0,59,306,0,0,0.08,1,0.2,1,0,0,1
218,1,1,45,28,0,0,0.32,1,0.4,0,0,1,0
220,2,1,20,28,1,0,0.08,1,1,0,1,0,0
222,1,1,43,133,0,0,0,0,0.1,0,0,1,0
223,2,0,38,306,1,1,0.72,1,0.8,1,1,1,1
224,2,0,32,268,0,0,0.88,1,0.6,1,1,1,1
225,2,0,33,31,0,0,0.64,0,0.5,1,1,1,1
227,2,1,31,319,0,0,0,1,0.3,1,0,0,1
228,2,1,33,306,0,0,0.56,1,0.9,1,1,1,1
229,2,0,27,379,0,0,0.16,1,0.9,1,1,1,1
231,2,1,20,190,0,0,0,1,0.6,0,1,0,0
232,1,1,26,151,0,0,0,0,0.6,0,1,0,0
234,2,1,61,365,0,0,0.08,1,0.1,1,0,0,1
235,6,0,52,175,0,0,1,1,0.7,1,1,1,1
236,3,0,63,28,0,0,0.08,1,0.1,0,0,1,0
238,2,1,32,28,0,0,0.32,1,1,1,1,1,1
239,3,0,29,190,0,0,0.08,1,0.4,0,0,1,0
240,6,1,46,189,0,0,0.08,1,0.2,0,0,1,0
241,2,1,26,128,0,0,0.16,0,0.4,1,0,0,1
242,2,0,55,45,0,0,0.24,0,0.1,0,0,1,0
243,1,0,39,28,1,0,0.08,0,0.4,0,0,1,0
244,1,1,30,304,0,0,0.24,1,0.7,1,1,1,1
245,2,0,30,56,0,0,0.08,1,0.7,0,1,0,0
246,1,0,48,45,0,0,0.16,0,0.2,0,0,1,0
248,2,0,22,28,0,0,0.08,1,0.2,0,0,1,0
249,1,0,46,129,0,0,0.48,1,0.1,1,0,0,1
251,1,1,49,89,0,0,0.48,1,0.6,0,1,0,0
252,1,0,31,108,0,0,0,1,0.5,0,1,0,0
254,2,0,25,45,0,0,0.08,0,0.2,1,0,0,1
257,3,0,23,280,0,0,0,1,0.3,0,0,1,0
258,2,1,32,15,0,0,0.4,1,0.7,0,1,0,0
259,3,0,52,206,0,0,0.16,0,0.1,0,0,1,0
260,2,0,62,306,0,0,0.64,1,0.4,0,0,1,0
262,1,1,37,306,0,0,0.48,1,1,0,1,0,0
263,1,0,55,190,0,0,0.08,1,0.1,0,0,1,0
264,3,0,31,28,0,0,0.64,1,0.9,1,1,1,1
265,2,0,28,337,0,0,0.48,0,0.6,1,1,1,1
266,3,0,54,65,0,0,0.16,1,0.1,0,0,1,0
267,3,0,58,311,0,0,0,1,0.2,0,0,1,0
268,1,0,78,128,0,0,0.08,0,0.1,1,0,0,1
269,1,0,56,306,0,0,0,1,0.1,0,0,1,0
271,6,0,24,65,0,0,0,1,0.2,0,0,1,0
272,2,0,38,74,1,1,1,1,0.8,1,1,1,1
275,2,0,22,246,0,0,0.08,1,0.5,1,1,1,1
277,2,0,47,283,0,0,1,0,0.8,1,1,1,1
278,2,0,23,45,0,0,0,0,0.2,1,0,0,1
279,3,0,57,129,0,0,0.08,1,0.1,0,0,1,0
280,1,1,38,306,0,0,0.16,1,0.5,1,1,1,1
281,2,0,66,6,0,0,0.24,1,0.1,0,0,1,0
282,1,0,45,423,0,0,0.64,0,0.4,1,0,0,1
285,6,1,52,28,0,0,0,0,0.3,1,0,0,1
286,2,0,32,252,0,0,1,1,1,1,1,1,1
287,2,0,37,45,0,0,0.16,0,0.9,1,1,1,1
288,1,0,39,317,0,0,0,1,0.4,1,0,0,1
289,2,0,26,112,0,0,0.72,1,0.9,1,1,1,1
291,1,0,45,211,0,0,0.16,1,0.3,0,0,1,0
293,2,0,23,303,0,0,0,1,0.3,1,0,0,1
294,2,0,34,45,0,0,0.16,0,0.2,0,0,1,0
297,2,1,23,45,0,0,0.08,0,0.4,0,0,1,0
298,6,0,36,45,0,0,0.16,0,0.3,1,0,0,1
299,1,0,50,359,0,0,0.08,1,0.1,0,0,1,0
300,1,1,37,208,0,0,0,0,0.3,0,0,1,0
301,1,0,44,45,0,0,0.32,0,0.4,0,0,1,0
302,2,1,35,175,0,1,1,1,0.9,1,1,1,1
304,6,0,24,28,0,0,0.4,1,0.5,1,1,1,1
306,2,0,26,179,0,0,0.16,1,1,1,1,1,1
308,2,0,27,92,0,0,0,0,0.2,0,0,1,0
310,2,1,28,10,0,0,0,1,0.8,0,1,0,0
311,1,0,43,28,0,0,0.88,1,0.5,1,1,1,1
313,1,1,28,175,0,0,0.56,1,0.9,1,1,1,1
315,2,0,38,129,0,0,0.16,1,0.1,0,0,1,0
316,1,0,27,397,0,0,0.16,0,0.4,0,0,1,0
317,2,1,28,28,0,0,0.08,1,0.9,0,1,0,0
319,1,0,56,172,0,0,0.56,1,0.1,1,0,0,1
320,2,0,38,306,0,0,1,1,0.9,0,1,0,0
321,2,0,28,283,0,0,0.16,0,0.5,0,1,0,0
322,2,0,45,28,0,0,0.24,1,0.6,0,1,0,0
323,3,0,28,134,0,0,0,0,0.2,0,0,1,0
325,1,0,61,28,0,0,0.08,1,0.1,0,0,1,0
326,1,1,51,128,0,0,0,0,0.1,1,0,0,1
327,1,0,51,45,0,0,0,0,0.2,0,0,1,0
329,6,0,36,283,0,0,0.08,0,0.1,1,0,0,1
330,2,0,48,20,0,0,0,1,0.1,0,0,1,0
331,1,0,37,28,0,0,0.32,1,0.3,1,0,0,1
332,2,1,30,190,0,0,0.16,1,0.7,0,1,0,0
333,2,1,41,45,0,0,0.4,0,0.6,0,1,0,0
334,2,0,27,342,0,0,0.88,1,1,1,1,1,1
335,2,0,37,45,0,0,0,0,0.1,0,0,1,0
336,6,0,33,16,0,0,0.32,1,0.4,1,0,0,1
337,2,0,54,186,0,0,0.88,1,0.9,0,1,0,0
338,2,0,23,343,0,0,0.16,1,0.9,0,1,0,0
341,2,1,26,28,0,0,0.16,1,0.4,1,0,0,1
344,2,0,41,45,0,0,0,0,0.1,0,0,1,0
345,1,0,52,66,0,0,0,1,0.1,0,0,1,0
347,1,0,43,129,0,0,1,1,0.4,1,0,0,1
348,2,0,52,418,0,0,0,1,0.4,0,0,1,0
349,1,0,28,28,0,0,0.08,1,0.1,0,0,1,0
350,2,0,30,45,0,0,0.88,0,0.9,1,1,1,1
351,1,0,28,92,0,0,0.08,1,0.5,0,1,0,0
354,2,0,22,246,0,0,0,1,0.4,0,0,1,0
355,2,0,30,129,0,0,0.32,1,0.2,0,0,1,0
356,3,0,25,303,0,0,0.32,1,0.4,0,0,1,0
357,1,0,31,65,0,0,0,1,0.8,1,1,1,1
358,1,0,37,190,0,0,0,1,0.2,1,0,0,1
359,2,0,32,21,0,1,1,1,0.9,0,1,0,0
360,2,0,26,283,0,1,0.32,0,0.8,0,1,0,0
361,1,0,53,45,0,0,0.08,0,0.1,0,0,1,0
362,2,0,28,28,0,0,1,1,0.8,1,1,1,1
363,1,0,44,45,0,0,0.64,0,0.5,1,1,1,1
364,2,0,25,190,0,0,0,1,0.3,0,0,1,0
366,1,0,22,430,0,0,0.08,0,0.8,1,1,1,1
369,6,1,37,45,0,0,0,0,0.1,0,0,1,0
372,6,1,40,129,0,0,0.24,1,0.2,0,0,1,0
374,1,0,36,172,0,0,0.64,1,0.7,1,1,1,1
375,1,0,30,159,0,0,0.32,1,0.2,0,0,1,0
376,2,0,22,328,0,0,0.24,0,0.9,1,1,1,1
377,1,1,24,45,0,0,0.08,0,0.7,1,1,1,1
378,2,0,27,426,0,0,0.24,0,0.2,1,0,0,1
379,3,1,31,45,0,0,0,0,0.2,0,0,1,0
381,3,0,23,28,0,0,0.08,1,0.6,1,1,1,1
382,1,1,23,28,0,0,0.4,1,0.5,1,1,1,1
383,3,0,24,283,0,0,0,0,0.8,0,1,0,0
384,2,0,29,45,0,0,0.08,0,0.3,0,0,1,0
385,2,0,20,71,0,0,0.08,1,0.8,1,1,1,1
386,2,0,30,71,0,0,0.16,1,0.6,1,1,1,1
389,6,0,39,384,0,0,0,1,0.1,0,0,1,0
390,2,0,27,28,0,0,0.32,1,0.4,0,0,1,0
392,1,0,31,28,0,0,0.16,0,0.4,0,0,1,0
393,2,1,37,28,0,0,0.16,1,0.1,0,0,1,0
396,2,0,20,292,0,0,0,1,0.8,0,1,0,0
398,3,0,22,280,0,0,0,1,0.7,0,1,0,0
399,2,1,52,58,0,0,0,1,0.1,0,0,1,0
400,2,1,23,71,0,0,0,1,0.4,1,0,0,1
402,2,1,48,15,0,0,0,1,0.2,0,0,1,0
403,2,0,66,112,0,0,0.64,1,0.6,1,1,1,1
404,1,0,25,108,0,0,0,1,0.5,0,1,0,0
405,1,0,27,190,0,0,0,1,0.6,1,1,1,1
406,2,0,30,404,0,0,0.88,1,0.7,1,1,1,1
407,2,0,22,45,0,1,0.24,0,1,1,1,1,1
408,1,1,22,246,0,0,0.08,1,0.3,0,0,1,0
409,2,0,35,28,0,0,0.16,1,1,0,1,0,0
410,1,0,32,28,0,0,0.16,1,0.4,0,0,1,0
411,2,1,41,49,0,0,0.16,0,0.3,0,0,1,0
414,6,1,25,15,0,0,0,1,0.2,0,0,1,0
415,2,0,44,240,0,0,1,0,0.7,0,1,0,0
416,2,0,52,306,0,0,0.24,1,0.6,1,1,1,1
417,2,0,43,169,0,0,0,1,0.1,0,0,1,0
423,1,0,37,28,0,0,0.24,1,0.1,0,0,1,0
424,2,0,28,283,0,0,0.24,0,0.4,1,0,0,1
425,1,0,70,45,0,0,0.08,0,0.1,0,0,1,0
426,1,0,54,306,0,0,0.48,1,0.2,1,0,0,1
428,1,0,46,28,0,0,0.24,1,0.4,0,0,1,0
429,2,0,21,242,0,0,0,0,0.9,1,1,1,1
430,2,0,26,45,0,0,0.08,0,0.8,1,1,1,1
431,3,0,38,89,0,0,0.24,1,0.1,1,0,0,1
432,1,0,34,45,0,0,0.4,0,0.4,0,0,1,0
434,2,0,19,190,0,0,0.08,1,0.5,1,1,1,1
435,2,0,34,127,0,0,0.4,0,0.4,0,0,1,0
437,1,0,23,15,0,0,0,1,0.5,1,1,1,1
438,2,0,34,319,0,0,0.4,1,0.4,1,0,0,1
439,2,0,30,28,0,0,0.16,1,0.1,0,0,1,0
440,2,0,39,21,0,0,0.48,1,0.3,1,0,0,1
441,6,0,24,156,0,0,0,1,0.3,0,0,1,0
442,1,0,33,128,0,0,0.08,0,0.3,1,0,0,1
445,1,0,58,8,0,0,0.16,1,0.3,0,0,1,0
446,2,1,21,45,0,0,0,0,0.6,0,1,0,0
450,2,0,21,42,0,0,0.08,1,0.5,0,1,0,0
451,2,0,23,283,0,0,0.32,0,0.8,1,1,1,1
452,1,0,62,159,0,0,0,1,0.1,0,0,1,0
454,2,0,27,283,1,0,0.32,0,0.8,1,1,1,1
456,1,0,37,49,0,0,0.4,1,0.3,0,0,1,0
457,6,0,43,190,0,0,0.16,1,0.2,1,0,0,1
459,2,1,32,10,0,0,0.4,1,0.1,0,0,1,0
461,3,0,23,58,0,0,0,1,0.3,0,0,1,0
462,2,0,27,45,0,0,0,0,0.1,0,0,1,0
463,1,0,44,45,0,0,0,0,0.1,1,0,0,1
464,1,0,28,45,0,0,0.24,0,0.3,1,0,0,1
465,1,1,42,306,0,0,0,1,0.2,0,0,1,0
467,6,0,24,336,0,1,0.72,1,1,1,1,1,1
468,2,0,27,10,0,0,0,1,0.2,0,0,1,0
469,2,0,20,186,0,0,0,1,1,1,1,1,1
474,1,1,51,49,0,0,0,0,0.1,0,0,1,0
475,1,0,56,50,0,0,0,0,0.1,0,0,1,0
478,2,0,29,28,0,0,0.56,1,0.9,0,1,0,0
480,2,0,20,190,0,0,0,1,0.9,1,1,1,1
481,1,0,53,28,0,0,0.48,1,0.1,0,0,1,0
484,1,0,27,28,0,0,0.64,1,0.5,0,1,0,0
485,2,0,24,64,0,1,0.16,1,0.9,1,1,1,1
487,1,0,53,85,0,0,1,1,0.6,1,1,1,1
489,1,0,28,45,0,0,0.16,0,0.3,1,0,0,1
493,2,0,45,89,0,0,0.08,1,0.1,0,0,1,0
494,3,0,21,190,0,1,0.24,1,0.5,0,1,0,0
495,2,1,36,10,0,0,0,1,0.7,0,1,0,0
496,1,1,25,242,0,0,0.16,0,0.4,1,0,0,1
497,3,1,23,239,0,0,0.08,0,0.3,0,0,1,0
499,1,0,28,246,0,0,0.08,1,0.5,0,1,0,0
500,2,1,21,344,0,0,0,1,0.8,1,1,1,1
501,1,0,36,423,0,0,0,0,0.3,0,0,1,0
502,2,0,24,190,0,0,0,1,0.3,0,0,1,0
503,2,0,28,28,0,0,0.24,1,0.6,1,1,1,1
504,6,0,30,28,0,0,0.08,1,0.2,1,0,0,1
505,2,0,29,15,0,0,0,1,0.1,0,0,1,0
509,1,1,30,45,0,0,0,0,0.6,0,1,0,0
510,3,0,51,31,0,0,0.08,0,0.1,0,0,1,0
511,6,0,33,169,0,0,0.24,1,0.1,0,0,1,0
512,2,1,25,28,0,0,0.16,1,0.6,0,1,0,0
516,2,0,32,28,0,1,0.96,1,0.9,1,1,1,1
517,2,0,23,190,0,0,0.08,1,0.6,0,1,0,0
518,2,0,47,292,0,0,0.24,1,0.3,0,0,1,0
521,3,1,32,306,0,0,0.08,1,0.3,1,0,0,1
522,1,0,37,181,0,0,0,1,0.1,0,0,1,0
523,2,0,19,268,0,1,0.16,1,1,1,1,1,1
524,3,0,27,45,0,0,0,0,0.8,0,1,0,0
525,6,0,39,45,0,0,0,0,0.1,0,0,1,0
526,1,1,21,306,0,0,0,1,0.6,0,1,0,0
527,1,0,69,15,0,0,0,0,0.1,0,0,1,0
530,1,0,21,28,0,0,0.16,1,0.6,0,1,0,0
531,2,0,26,45,0,0,0.48,0,1,1,1,1,1
532,1,0,22,306,0,0,0,1,0.4,0,0,1,0
533,2,1,23,129,0,0,0,1,0.5,1,1,1,1
537,2,0,49,186,0,0,0.24,1,0.5,0,1,0,0
538,2,0,29,45,0,0,0.16,0,0.4,0,0,1,0
540,1,1,60,45,0,0,0,0,0.1,0,0,1,0
541,2,1,26,28,0,0,0,0,1,0,1,0,0
542,2,0,23,280,1,0,0.24,1,1,1,1,1,1
543,3,0,34,28,0,0,0.16,0,0.5,1,1,1,1
545,6,1,20,28,1,0,0.08,1,0.4,0,0,1,0
546,3,0,36,176,0,0,0.08,1,0.3,0,0,1,0
547,1,0,30,306,0,0,0,1,0.4,0,0,1,0
548,2,0,21,190,0,1,0.08,1,0.3,0,0,1,0
552,1,0,22,283,0,0,0.16,0,0.6,1,1,1,1
553,2,0,57,28,0,0,1,1,0.8,0,1,0,0
557,2,0,21,28,0,0,0.32,1,0.9,1,1,1,1
558,2,0,21,64,0,0,0,1,0.5,1,1,1,1
561,1,0,34,45,0,0,0.08,0,0.1,0,0,1,0
563,1,1,50,45,0,0,0.08,0,0.1,1,0,0,1
565,1,0,40,28,0,0,0,1,0.7,1,1,1,1
566,2,0,25,377,0,0,0.56,1,0.8,1,1,1,1
567,1,1,53,45,0,0,0.08,0,0.1,0,0,1,0
569,2,1,24,15,0,0,0,1,0.4,0,0,1,0
572,2,0,42,28,0,0,0.08,1,0.1,0,0,1,0
573,2,0,28,45,0,0,0.08,0,0.3,0,0,1,0
574,1,0,24,123,0,0,0.08,0,0.4,0,0,1,0
576,2,0,26,342,1,1,0.48,1,0.8,1,1,1,1
579,2,0,22,190,0,0,0.32,1,0.9,1,1,1,1
580,1,0,21,28,0,0,0.24,0,0.7,0,1,0,0
581,2,0,37,49,0,0,1,1,0.9,1,1,1,1
584,2,0,35,303,0,0,0.16,1,0.5,0,1,0,0
586,2,0,53,172,0,0,0.16,1,0.1,0,0,1,0
587,2,0,60,28,0,0,0.08,1,0.1,0,0,1,0
588,2,0,29,306,0,0,0.56,1,0.4,0,0,1,0
590,1,0,48,175,1,0,1,1,0.8,1,1,1,1
594,1,1,52,45,0,0,0,0,0.1,0,0,1,0
597,2,0,27,129,0,0,0.96,1,0.8,1,1,1,1
598,2,0,28,28,0,0,0.4,1,0.9,0,1,0,0
599,1,0,33,45,0,0,0.24,0,0.3,0,0,1,0
600,3,1,28,28,0,0,0,1,0.2,0,0,1,0
601,1,0,47,306,0,0,0.4,1,1,1,1,1,1
602,2,0,36,383,0,0,1,1,0.7,1,1,1,1
603,2,0,29,21,1,0,0.16,1,0.5,0,1,0,0
604,2,0,22,410,0,0,0,0,0.9,1,1,1,1
605,2,0,26,252,0,0,0.48,1,0.7,0,1,0,0
608,1,0,25,336,0,0,0,1,0.2,0,0,1,0
609,1,0,68,15,0,0,0.16,1,0.1,0,0,1,0
611,2,0,56,129,0,0,0.4,1,0.3,0,0,1,0
612,2,0,27,21,0,0,0.72,1,0.8,1,1,1,1
613,1,0,52,190,0,0,0.32,1,0.1,1,0,0,1
616,2,0,32,49,0,0,0.24,1,0.2,0,0,1,0
617,6,0,60,28,0,0,0.32,1,0.1,0,0,1,0
621,3,0,23,144,0,0,0.08,0,0.3,0,0,1,0
622,1,1,39,123,0,0,0,0,0.6,0,1,0,0
623,1,0,56,45,0,0,0,0,0.1,0,0,1,0
624,2,1,22,280,0,0,0,1,0.7,0,1,0,0
625,2,1,27,417,0,0,0.08,1,0.2,1,0,0,1
627,2,0,53,28,0,0,0.88,1,0.6,0,1,0,0
628,1,0,25,128,0,0,0,0,0.2,1,0,0,1
629,3,0,21,45,0,0,0,0,0.3,0,0,1,0
630,1,0,22,209,0,0,0,1,0.3,0,0,1,0
633,1,1,58,134,0,0,0.16,0,0.1,0,0,1,0
635,2,0,31,21,0,0,0.56,0,0.3,1,0,0,1
637,1,0,22,163,0,0,0.08,1,0.5,1,1,1,1
638,2,0,28,418,0,0,0.64,1,0.6,1,1,1,1
639,6,0,42,28,0,0,0.08,1,0.1,0,0,1,0
640,2,0,20,186,0,0,0,1,0.7,1,1,1,1
641,1,0,29,45,0,0,0,0,0.6,1,1,1,1
643,2,0,29,28,0,0,0.64,1,1,0,1,0,0
644,2,0,58,28,0,0,1,0,0.7,1,1,1,1
645,2,0,22,190,0,0,0.24,1,0.7,0,1,0,0
646,3,0,48,239,0,0,0.08,0,0.1,1,0,0,1
647,1,0,37,90,0,0,0,1,0.4,0,0,1,0
648,2,0,57,175,0,0,0.08,1,0.5,1,1,1,1
649,1,0,27,180,0,0,0.24,0,0.1,0,0,1,0
651,2,0,26,65,0,0,0.24,1,0.4,0,0,1,0
653,1,0,24,280,0,1,0.24,1,0.8,1,1,1,1
654,1,0,33,21,0,0,0,1,0.1,0,0,1,0
656,2,0,29,28,0,0,0.16,1,0.6,0,1,0,0
657,2,1,24,190,0,0,0.24,1,1,1,1,1,1
659,1,0,19,169,0,0,0.08,1,1,1,1,1,1
660,1,0,36,45,0,0,0.16,0,0.1,0,0,1,0
662,1,1,24,280,0,0,0,1,0.5,0,1,0,0
664,1,0,34,133,0,0,0,0,0.1,0,0,1,0
668,3,0,25,28,0,0,0.16,1,0.5,1,1,1,1
669,2,0,20,28,1,0,0.08,1,1,1,1,1,1
